,Mat
overview,1
vs Scotland,1
in Scotland,1
in Europe,1
away,1
year 2024,1
season 2024,1
*MR Marsh,1
is not captain,1
is not keeper,1
won the toss,1
won toss & fielded,1
matches fielding first,1
1st team innings,1
2nd match innings,1
won match,1
won fielding first,1
2 team series,1
3rd match in series,1
