Player Name,Age
Afsar Zazai,31
Azmatullah Omarzai,24
Darwish Rasooli,24
Fareed Ahmad,30
Fazalhaq Farooqi,23
AM Ghazanfar,18
Gulbadin Naib,33
Hashmatullah Shahidi,29
Hazratullah Zazai,26
Ibrahim Zadran,22
