Player Name,Age
Aamer Jamal,28
Abbas AfridI,23
Abdullah Shafique,24
Abrar Ahmed,26
Agha Salman,30
Aliya Riaz,31
Arafat Minhas,19
Arshad Iqbal,23
Asif Ali,32
Ayesha Zafar,30
