Player Name,Age
Abhishek Sharma,24
Khaleel Ahmed,26
Kanika Ahuja,22
Akash Deep,27
Arshdeep Singh,25
Ravichandran Ashwin,37
Avesh Khan,27
Srikar Bharat,30
Yastika Bhatia,23
Jasprit Bumrah,30
