Player Name,Age
Sean Abbott,32
Ashton Agar,30
Xavier Bartlett,25
Jason Behrendorff,34
Darcie Brown,21
Alex Carey,33
Lauren Cheatle,25
Cooper Connolly,21
Pat Cummins,31
Tim David,28
