Player Name,Age
Moeen Ali,37
James Anderson,42
Jofra Archer,29
Hollie Armitage,27
Gus Atkinson,26
Jonny Bairstow,34
Hannah Baker,20
Tammy Beaumont,33
Lauren Bell,23
Maia Bouchier,25
