Player Name,Age
Fabian Allen,29
Aaliyah Alleyne,29
Alick Athanaze,25
Teddy Bishop,21
Kraigg Brathwaite,31
Shemaine Campbelle,31
Yannic Cariah,32
Keacy Carty,27
Tagenarine Chanderpaul,28
Johnson Charles,35
