Position,Team,Matches,Points,Rating
1,AUS Women,30,4889,163
2,ENG Women,33,4315,131
3,SA Women,32,3454,108
4,IND Women,24,2490,104
5,NZ Women,30,2842,95
6,SL Women,17,1474,87
7,WI Women,26,2241,86
8,BAN Women,20,1565,78
9,THA Women,11,753,68
10,PAK Women,32,2072,65
11,IRE Women,24,1032,43
12,SCO Women,9,308,34
13,NL Women,13,264,20
14,ZIM Women,13,172,13
15,PNG Women,9,0,0
