Position,Team,Matches,Points,Rating
1,India,45,5298,118
2,Australia,34,3936,116
3,South Africa,30,3357,112
4,Pakistan,26,2762,106
5,New Zealand,33,3349,101
6,Sri Lanka,50,4825,97
7,England,28,2672,95
8,Bangladesh,40,3453,86
9,Afghanistan,31,2477,80
10,West Indies,32,2205,69
11,Scotland,28,1450,52
12,Ireland,22,1091,50
13,Zimbabwe,24,1181,49
14,Netherlands,38,1791,41
15,Namibia,24,756,32
16,Nepal,35,1095,31
17,Oman,24,581,24
18,U.S.A.,24,555,23
19,Canada,13,253,19
20,U.A.E.,30,345,12
